Label,Type,Principal,Annual_Rate,Start_Date,Actual_Interest,Is_Margin,Margin_Ratio_Baseline,Available_To_Borrow,Call_Threshold,Recover_Threshold,Liquidation_Threshold,Has_Open_Record
信用貸款,Installment,1950000.0,2.28,2026-06-26,0.0,False,180.0,0.0,130.0,166.0,110.0,False
隨借隨還額度,LOC,3654200.0,6.45,2026-01-22,9216.0,True,190.0,485536.0,130.0,166.0,110.0,False
